GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1400000US25017382100,25017382100,"Census Tract 3821, Middlesex County, Massachusetts",211,93,9,14,9,13,18,20,32,50,0,17,17,21,10,16,25,22,43,36,48,67
1400000US25017382200,25017382200,"Census Tract 3822, Middlesex County, Massachusetts",447,128,17,22,15,24,159,103,43,35,43,31,18,22,54,49,35,56,23,22,40,32
1400000US25017382300,25017382300,"Census Tract 3823, Middlesex County, Massachusetts",434,124,43,41,43,49,28,34,63,51,124,92,28,23,32,49,0,17,60,49,13,22
1400000US25017382400,25017382400,"Census Tract 3824, Middlesex County, Massachusetts",594,121,0,12,23,23,11,17,83,51,95,51,73,61,100,87,87,52,72,55,50,35
1400000US25017382500,25017382500,"Census Tract 3825, Middlesex County, Massachusetts",778,116,56,60,20,23,139,75,116,68,129,86,37,43,76,53,35,42,155,61,15,18
1400000US25017382601,25017382601,"Census Tract 3826.01, Middlesex County, Massachusetts",936,164,62,84,138,84,101,73,202,116,138,72,18,29,69,85,46,56,94,65,68,73
1400000US25017382602,25017382602,"Census Tract 3826.02, Middlesex County, Massachusetts",339,94,23,23,8,14,21,33,71,43,48,45,84,57,8,13,21,31,32,32,23,21
1400000US25017383101,25017383101,"Census Tract 3831.01, Middlesex County, Massachusetts",971,103,42,52,58,54,90,57,65,52,44,44,151,90,41,31,153,90,302,127,25,27
1400000US25017383102,25017383102,"Census Tract 3831.02, Middlesex County, Massachusetts",1663,92,39,42,142,67,147,88,170,83,142,79,203,99,129,73,183,73,458,115,50,43
1400000US25017383200,25017383200,"Census Tract 3832, Middlesex County, Massachusetts",1026,194,10,17,77,79,203,121,107,92,68,39,46,50,40,33,76,81,276,121,123,92
1400000US25017383300,25017383300,"Census Tract 3833, Middlesex County, Massachusetts",747,96,8,14,99,75,46,38,61,47,50,35,56,42,42,41,101,68,249,87,35,28
