GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US25021417502,25021417502,"Census Tract 4175.02, Norfolk County, Massachusetts",4203,352,2404,283,115,81,29,36,1611,256,0,127,30,42,14,21,14,21,0,127
1400000US25021417601,25021417601,"Census Tract 4176.01, Norfolk County, Massachusetts",5778,340,3888,376,99,84,9,15,1350,295,0,127,280,240,152,168,15,24,137,171
1400000US25021417602,25021417602,"Census Tract 4176.02, Norfolk County, Massachusetts",4860,387,3793,435,44,51,23,36,933,241,0,127,47,47,20,32,0,127,20,32
1400000US25021417700,25021417700,"Census Tract 4177, Norfolk County, Massachusetts",8625,630,6970,597,497,275,0,127,972,303,0,127,63,62,123,105,23,29,100,93
1400000US25021417801,25021417801,"Census Tract 4178.01, Norfolk County, Massachusetts",5286,312,5087,292,46,74,68,66,85,73,0,127,0,127,0,127,0,127,0,127
1400000US25021417802,25021417802,"Census Tract 4178.02, Norfolk County, Massachusetts",3386,266,1863,322,382,291,0,127,980,226,0,127,11,16,150,131,0,127,150,131
1400000US25021417901,25021417901,"Census Tract 4179.01, Norfolk County, Massachusetts",5142,410,3704,430,384,171,0,127,878,125,0,127,115,101,61,79,19,30,42,52
1400000US25021417902,25021417902,"Census Tract 4179.02, Norfolk County, Massachusetts",3256,374,2498,367,106,116,0,127,538,139,0,127,0,127,114,87,0,127,114,87
1400000US25021418001,25021418001,"Census Tract 4180.01, Norfolk County, Massachusetts",5902,444,4434,438,242,148,0,127,1063,284,39,96,35,40,89,81,33,43,56,67
1400000US25021418002,25021418002,"Census Tract 4180.02, Norfolk County, Massachusetts",6781,453,4676,457,239,162,0,127,1726,335,0,127,115,140,25,30,0,127,25,30
1400000US25021418100,25021418100,"Census Tract 4181, Norfolk County, Massachusetts",7760,607,5704,482,455,379,37,45,1366,345,0,127,140,127,58,47,15,23,43,40
1400000US25021418200,25021418200,"Census Tract 4182, Norfolk County, Massachusetts",6269,509,4953,502,367,236,0,127,841,148,0,127,0,127,108,89,0,127,108,89
1400000US25021419100,25021419100,"Census Tract 4191, Norfolk County, Massachusetts",6446,489,6074,524,44,52,0,127,328,160,0,127,0,127,0,127,0,127,0,127
1400000US25021419200,25021419200,"Census Tract 4192, Norfolk County, Massachusetts",4920,289,4502,381,0,127,0,127,385,352,0,127,0,127,33,40,0,127,33,40
1400000US25021419300,25021419300,"Census Tract 4193, Norfolk County, Massachusetts",3394,280,2816,221,229,184,0,127,349,106,0,127,0,127,0,127,0,127,0,127
1400000US25021419400,25021419400,"Census Tract 4194, Norfolk County, Massachusetts",3048,286,2662,296,128,125,19,30,173,131,0,127,0,127,66,73,8,15,58,73
1400000US25021419500,25021419500,"Census Tract 4195, Norfolk County, Massachusetts",3122,350,2751,384,47,74,0,127,255,156,0,127,42,61,27,46,0,127,27,46
1400000US25021419600,25021419600,"Census Tract 4196, Norfolk County, Massachusetts",5888,248,5374,272,15,18,0,127,499,107,0,127,0,127,0,127,0,127,0,127
1400000US25021419700,25021419700,"Census Tract 4197, Norfolk County, Massachusetts",4214,323,3745,344,130,133,0,127,317,120,0,127,22,35,0,127,0,127,0,127
1400000US25021419800,25021419800,"Census Tract 4198, Norfolk County, Massachusetts",3594,291,3173,326,16,26,0,127,255,149,0,127,119,109,31,38,0,127,31,38
1400000US25021420100,25021420100,"Census Tract 4201, Norfolk County, Massachusetts",7235,421,3972,477,2002,356,21,33,998,308,0,127,151,154,91,93,10,16,81,91
1400000US25021420201,25021420201,"Census Tract 4202.01, Norfolk County, Massachusetts",3376,251,1481,251,1402,357,0,127,432,127,0,127,25,37,36,35,0,127,36,35
1400000US25021420202,25021420202,"Census Tract 4202.02, Norfolk County, Massachusetts",5592,390,2508,274,2309,390,68,110,563,163,0,127,103,86,41,41,9,16,32,37
1400000US25021420301,25021420301,"Census Tract 4203.01, Norfolk County, Massachusetts",6928,398,3492,522,2479,458,0,127,650,273,0,127,163,181,144,101,15,24,129,99
1400000US25021420302,25021420302,"Census Tract 4203.02, Norfolk County, Massachusetts",7260,342,3398,349,2630,348,0,127,908,186,0,127,260,121,64,68,39,62,25,28
1400000US25021421100,25021421100,"Census Tract 4211, Norfolk County, Massachusetts",4899,246,4602,318,231,216,0,127,0,127,0,127,0,127,66,70,0,127,66,70
1400000US25021421200,25021421200,"Census Tract 4212, Norfolk County, Massachusetts",5838,241,4946,565,657,428,0,127,207,313,0,127,21,35,7,13,7,13,0,127
1400000US25021422100,25021422100,"Census Tract 4221, Norfolk County, Massachusetts",5155,341,4714,357,118,130,0,127,246,274,0,127,40,41,37,38,0,127,37,38
1400000US25021422200,25021422200,"Census Tract 4222, Norfolk County, Massachusetts",7114,532,6525,512,42,70,0,127,227,217,0,127,257,241,63,57,0,127,63,57
1400000US25021422301,25021422301,"Census Tract 4223.01, Norfolk County, Massachusetts",2892,170,2660,230,0,127,0,127,187,191,0,127,27,45,18,21,9,15,9,16
1400000US25021422302,25021422302,"Census Tract 4223.02, Norfolk County, Massachusetts",6401,428,5441,389,528,282,0,127,353,101,0,127,65,88,14,22,0,127,14,22
1400000US25021422400,25021422400,"Census Tract 4224, Norfolk County, Massachusetts",7959,358,7154,360,428,249,0,127,299,124,0,127,36,59,42,66,0,127,42,66
1400000US25021422501,25021422501,"Census Tract 4225.01, Norfolk County, Massachusetts",4903,426,4495,469,276,195,0,127,90,95,0,127,0,127,42,52,0,127,42,52
