GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - Built 2010 or later,Margin of Error; Median gross rent -- - Total: - Built 2010 or later,Estimate; Median gross rent -- - Total: - Built 2000 to 2009,Margin of Error; Median gross rent -- - Total: - Built 2000 to 2009,Estimate; Median gross rent -- - Total: - Built 1990 to 1999,Margin of Error; Median gross rent -- - Total: - Built 1990 to 1999,Estimate; Median gross rent -- - Total: - Built 1980 to 1989,Margin of Error; Median gross rent -- - Total: - Built 1980 to 1989,Estimate; Median gross rent -- - Total: - Built 1970 to 1979,Margin of Error; Median gross rent -- - Total: - Built 1970 to 1979,Estimate; Median gross rent -- - Total: - Built 1960 to 1969,Margin of Error; Median gross rent -- - Total: - Built 1960 to 1969,Estimate; Median gross rent -- - Total: - Built 1950 to 1959,Margin of Error; Median gross rent -- - Total: - Built 1950 to 1959,Estimate; Median gross rent -- - Total: - Built 1940 to 1949,Margin of Error; Median gross rent -- - Total: - Built 1940 to 1949,Estimate; Median gross rent -- - Total: - Built 1939 or earlier,Margin of Error; Median gross rent -- - Total: - Built 1939 or earlier
1400000US25017365201,25017365201,"Census Tract 3652.01, Middlesex County, Massachusetts",482,62,-,**,-,**,-,**,-,**,-,**,-,**,479,905,-,**,-,**
1400000US25017365202,25017365202,"Census Tract 3652.02, Middlesex County, Massachusetts",369,336,-,**,503,1102,-,**,768,314,164,526,-,**,-,**,-,**,-,**
1400000US25017366100,25017366100,"Census Tract 3661, Middlesex County, Massachusetts",1068,830,-,**,-,**,"2,000+",***,-,**,355,193,-,**,1167,603,-,**,648,1289
1400000US25017366201,25017366201,"Census Tract 3662.01, Middlesex County, Massachusetts",1756,151,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US25017366202,25017366202,"Census Tract 3662.02, Middlesex County, Massachusetts",409,456,-,**,-,**,-,**,-,**,-,**,-,**,325,957,-,**,407,625
1400000US25017367100,25017367100,"Census Tract 3671, Middlesex County, Massachusetts",1227,685,-,**,-,**,-,**,-,**,743,642,-,**,-,**,-,**,1765,105
1400000US25017367200,25017367200,"Census Tract 3672, Middlesex County, Massachusetts",1333,319,-,**,-,**,327,334,1732,683,-,**,-,**,-,**,-,**,-,**
1400000US25017368101,25017368101,"Census Tract 3681.01, Middlesex County, Massachusetts","2,000+",***,-,**,"2,000+",***,"2,000+",***,"2,000+",***,"2,000+",***,1786,458,1646,1094,-,**,-,**
1400000US25017368102,25017368102,"Census Tract 3681.02, Middlesex County, Massachusetts",1397,525,-,**,-,**,-,**,1332,253,-,**,-,**,-,**,-,**,-,**
1400000US25017368200,25017368200,"Census Tract 3682, Middlesex County, Massachusetts",1788,206,-,**,"2,000+",***,"2,000+",***,1976,419,1690,200,971,1685,-,**,-,**,1471,253
